area,category_searched,name,address,rating,review_count,website,phone,types,business_status,price_level
"Burari, Delhi",cafes,Bhukhkhad Adda,"25 Footta Road, Sant Nagar, Gali No. 110, Parvatiya Anchal, Block B, Nearest, Bhukhkhad Adda, Delhi, 110084, India",5.0,108.0,,084710 49208,"cafe, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,THE VEGGIE GRILL CAFE,"GROUND FLOOR SHOP, KH. NO. 118/25/1, 25, PLOT NO. 1 AND 2, Foota Rd, near Gali Number 6, b-block, Block B, Sant Nagar, Burari, Delhi, 110084, India",5.0,22.0,,075037 07061,"cafe, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,Shriram's Cafe,"A-2/11, Kh no.70, A-block, 14, Gali Number 35, near Oscar Public School Road, Block 8A, Kaushik Enclave, Swami Dayanand Enclave, Burari, Delhi, 110084, India",5.0,20.0,,083683 47844,"cafe, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,COFFEE ART HOUSE,"2 Block, 41 Feet Rd, Virendar Nagar, Block B, West Sant Nagar, Burari, Delhi, 110084, India",4.9,45.0,,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,FOOD PITARRA,"Kh. No- 457/1, near Shalimar Palace, opposite Vindhya Shree Appartment, Indraprasth Colony, Burari, Delhi, 110084, India",4.2,451.0,https://www.facebook.com/FoodPitarra/,073037 70072,"family_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,PRICE_LEVEL_MODERATE
"Burari, Delhi",cafes,Le Food Gallery,"701, Main Burari Chowk, near Union Bank, Conductor Colony, Baba Colony, Burari, Delhi, 110084, India",4.4,33.0,,099107 23448,"cafe, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,The hello cafe,"Kaushik Enclave, Nathupura Rd, Saroop Vihar, A Block, Indraprasth Colony, Burari, Delhi, 110084, India",4.5,17.0,,,"coffee_shop, cafe, fast_food_restaurant, food_store, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",cafes,The Royal Cafe,"Main 100 Foota Road, Block B, Sant Nagar, Burari, New Delhi, Delhi, 110084, India",5.0,8.0,,085058 12807,"cafe, indian_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",salons,Tress Trends Unisex Salon,"Main, Burari Rd, opposite Shalimar Banquet Hall, Data Ram Tyagi Enclave, Block A, Extension Colony, Burari, Delhi, 110084, India",4.7,562.0,https://tress-trends-salon.respark.in/tress-trends-salon-240/burari,093550 55561,"makeup_artist, hair_salon, hair_care, nail_salon, beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
"Burari, Delhi",salons,BM Unisex Salon & Academy,"1st Floor, 324/325, Main Road,Burai Chowk, Conductor Colony, Burari, Delhi, 110084, India",4.8,236.0,,097174 95648,"beauty_salon, point_of_interest, service, establishment",OPERATIONAL,
