name,area,pincode,category_searched,rating,review_count,review_outlier,has_website,has_phone,has_price_info,price_level_clean,num_types,business_status
Intimissi Lingerie Store Burari,"Burari, Delhi",110084,clothing stores,4.8,183,0,1,1,0,,4,OPERATIONAL
Blue feather new fashion & garments,"Burari, Delhi",110084,clothing stores,5.0,16,0,0,1,0,,5,OPERATIONAL
Lifestyle Fashion,"Burari, Delhi",110084,clothing stores,5.0,5,0,1,0,0,,4,OPERATIONAL
"Zudio - Burari, Delhi","Burari, Delhi",110084,clothing stores,4.0,670,0,1,1,0,,3,OPERATIONAL
Shri Keshav Cloths & Readymade Garments,"Burari, Delhi",110084,clothing stores,4.4,15,0,0,1,0,,4,OPERATIONAL
Rajmandir Hypermarket Burari,"Burari, Delhi",110084,grocery stores,4.0,1319,0,1,1,0,,6,OPERATIONAL
Max Bazaar,"Burari, Delhi",110084,grocery stores,4.2,3199,0,0,1,0,,9,OPERATIONAL
Vishal Mega Mart,"Burari, Delhi",110084,grocery stores,3.8,7583,0,1,1,0,,10,OPERATIONAL
JR MART,"Burari, Delhi",110084,grocery stores,4.4,76,0,0,1,0,,11,OPERATIONAL
The Family Mart,"Burari, Delhi",110084,grocery stores,4.2,126,0,0,1,0,,7,OPERATIONAL
Aapka Budget Bazaar,"Burari, Delhi",110084,grocery stores,4.3,217,0,0,0,0,,8,OPERATIONAL
Top ten Bazar,"Burari, Delhi",110084,grocery stores,3.9,1614,0,0,1,0,,6,OPERATIONAL
Kaushalya Mart,"Burari, Delhi",110084,grocery stores,4.2,131,0,0,1,0,,6,OPERATIONAL
SAVITA store,"Burari, Delhi",110084,grocery stores,4.1,188,0,0,1,0,,7,OPERATIONAL
"Baniya Ki Dukan , Burari Sant Nagar","Burari, Delhi",110084,grocery stores,3.8,376,0,1,1,0,,7,OPERATIONAL
AAPKA BUDGET BAZAAR (SHALIMAR PALACE BURARI),"Burari, Delhi",110084,grocery stores,3.8,52,0,0,1,0,,11,OPERATIONAL
Big rashan bazar,"Burari, Delhi",110084,grocery stores,3.9,53,0,0,1,0,,8,OPERATIONAL
Manguram Lot Market Manguram Chowk,"Burari, Delhi",110084,grocery stores,4.3,389,0,0,1,0,,3,OPERATIONAL
Arora Store,"Burari, Delhi",110084,grocery stores,3.9,205,0,1,1,0,,7,OPERATIONAL
Jindal store,"Burari, Delhi",110084,grocery stores,4.3,158,0,0,0,0,,6,OPERATIONAL
Supermarket,"Burari, Delhi",110084,grocery stores,4.3,66,0,0,1,0,,7,OPERATIONAL
MUNAFA BAZAR,"Burari, Delhi",110084,grocery stores,3.9,820,0,1,1,0,,9,OPERATIONAL
Uttrakhand Enclave Part - 1,"Burari, Delhi",110084,grocery stores,4.0,323,0,0,0,0,,7,OPERATIONAL
Market Basket 11,"Burari, Delhi",110084,grocery stores,3.8,8,0,0,0,0,,6,OPERATIONAL
VIJAY SALES - BURARI,"Burari, Delhi",110084,electronics shops,4.8,3923,0,1,1,0,,4,OPERATIONAL
Hariom Electronics - Burari,"Burari, Delhi",110084,electronics shops,4.8,2173,0,1,1,0,,3,OPERATIONAL
Sanjay Electronics,"Burari, Delhi",110084,electronics shops,4.3,58,0,0,1,0,,4,OPERATIONAL
Vardhman Electronics | Burari | New Delhi,"Burari, Delhi",110034,electronics shops,4.5,53,0,1,0,0,,7,OPERATIONAL
Jwala Electricals,"Burari, Delhi",110084,electronics shops,3.5,210,0,0,0,0,,4,OPERATIONAL
Shri Shyam Electronics,"Burari, Delhi",110084,electronics shops,4.8,36,0,0,1,0,,4,OPERATIONAL
Krishna Electronics,"Burari, Delhi",110084,electronics shops,4.7,90,0,0,1,0,,2,OPERATIONAL
Rohini Electronics & Electricals,"Burari, Delhi",110084,electronics shops,4.7,52,0,1,1,0,,5,OPERATIONAL
PARTIKSHA ELECTRONICS,"Burari, Delhi",110084,electronics shops,5.0,40,0,0,1,0,,4,OPERATIONAL
Hariom Electronics - Burari (Kaushik Enclave),"Burari, Delhi",110084,electronics shops,4.8,606,0,1,1,0,,4,OPERATIONAL
Mobinex electronics,"Burari, Delhi",110084,electronics shops,4.5,68,0,0,1,0,,5,OPERATIONAL
Rawat Electronics,"Burari, Delhi",110084,electronics shops,5.0,25,0,0,1,0,,4,OPERATIONAL
Kartik Gupta Electronics,"Burari, Delhi",110084,electronics shops,4.8,16,0,0,1,0,,4,OPERATIONAL
Guru Ji Ki Dukan,"Burari, Delhi",110084,electronics shops,3.8,243,0,0,0,0,,4,OPERATIONAL
S.S ELECTRONICS,"Burari, Delhi",110084,electronics shops,5.0,296,0,1,1,0,,3,OPERATIONAL
Rajdhani Electronics,"Burari, Delhi",110084,electronics shops,5.0,1,0,0,1,0,,4,OPERATIONAL
Ashish Electronics - Best Electronic Repair Shop in Tomar Colony burari,"Burari, Delhi",110084,electronics shops,4.5,2,0,0,1,0,,7,OPERATIONAL
Gambhir Computers,"Burari, Delhi",110084,electronics shops,4.4,211,0,1,1,0,,7,OPERATIONAL
