name,area,category_searched,rating,review_count,website_propensity_score,lead_score
Narang Legacy | Nirankari Gems & Jewels,"Mukherjee Nagar, Delhi",jewellery shops,4.8,2495.0,0.6741767594331258,0.7612835931948836
Telepathy,"Connaught Place, New Delhi",electronics shops,4.9,1024.0,0.6970829984352097,0.7610982373129512
CAFE BELMONTE - Bar & Restaurant,"Kalkaji, Delhi",cafes,4.4,696.0,0.7092472844286952,0.7608416112108133
Soni Sapphire,"Rajouri Garden, Delhi",jewellery shops,4.7,882.0,0.7014773659804955,0.7606448828299455
Patiaala House Restaurant in Delhi,"Vikaspuri, Delhi",restaurants,4.5,1567.0,0.6841006619849354,0.7605486640814962
Nagi Jewellers,"Vikaspuri, Delhi",jewellery shops,4.8,776.0,0.7059695912443228,0.760467641206666
Puri Bakers,"Punjabi Bagh, Delhi",bakeries,4.2,2123.0,0.6771578128007121,0.7604118530435433
Echoes,"Greater Kailash, Delhi",cafes,4.5,395.0,0.7334661075244856,0.7597065520837489
S Three Western Villa,"Pitampura, Delhi",clothing stores,4.5,448.0,0.724949945741489,0.7596102907387654
"Dr. Manas Chopra's Skin Clinic | Best Doctor for Chemical Peel, PRP ,Wrinkle Treatment & Hyper Pigmentation Treatment","Janakpuri, Delhi",clinics,4.8,254.0,0.7549536861293933,0.7591769228511289
Ever Bake,"Ashok Vihar, Delhi",bakeries,4.2,7255.0,0.659898183273259,0.7588923961113505
Kanak Jewellers,"Patel Nagar, Delhi",jewellery shops,4.8,2374.0,0.6711008610226573,0.7587671425082476
H2B Salon,"Kamla Nagar, Delhi",salons,4.8,2280.0,0.6730007819717626,0.7583583328473618
Advance Diagnostics imaging & Dental Clinic - | Best Diagnostics in Janakpuri | Best Diagnostics Centre in Janakpuri,"Janakpuri, Delhi",clinics,4.6,614.0,0.7100046910490284,0.7579461903087144
Divine Skinsthetic,"Punjabi Bagh, Delhi",clinics,4.7,229.0,0.7593122253477086,0.7578939902693476
Hemraj Jain Hospital,"Pitampura, Delhi",clinics,4.8,661.0,0.7065549006665937,0.757607461608484
Apollo Clinic - Bhartimedicare Pvt Ltd,"Mayapuri, Delhi",clinics,4.3,1825.0,0.6760251219576403,0.7573611839862652
Janta Eating House LLP,"Shahdara, Delhi",restaurants,4.1,3718.0,0.6632626463332304,0.7573288351322232
"DIABETES, SKIN & HAIR CLINIC(Dr Ritesh Bansal & Dr Candy Garg)","Shahdara, Delhi",clinics,5.0,214.0,0.7625204077397121,0.7572071919921929
Café Amudham Restaurant Punjabi Bagh,"Punjabi Bagh, Delhi",cafes,4.6,326.0,0.7393808415096391,0.7570475579148788
Spacelift - Verma sales corporation (Since 1986),"Mayur Vihar, Delhi",electronics shops,4.7,658.0,0.7060174880366261,0.7570236603107594
JAI SHREE RESTAURANT BANQUET HOTEL,"Burari, Delhi",restaurants,4.1,1129.0,0.687849305711941,0.7569443409879781
Xero Degrees,"Mayur Vihar, Delhi",cafes,4.7,2369.0,0.6684273097040011,0.756817801913908
The Record Room -Best Bar | Best Party Place | Best Pub | Hauz Khas South Delhi,"Hauz Khas, Delhi",restaurants,4.3,1922.0,0.6742735926872557,0.7565243868533973
Xzizt,"Mayur Vihar, Delhi",clothing stores,4.3,2838.0,0.664611619469618,0.7558855730750993
Pastry Palace,"Vikaspuri, Delhi",bakeries,4.1,2745.0,0.6635287996466323,0.7548161805138882
Dr. Renu Garg's Clinics,"Mayur Vihar, Delhi",clinics,4.8,238.0,0.7516659558343087,0.7543841621636008
The Big Chill Cakery,"South Extension, Delhi",bakeries,4.4,1816.0,0.6717343040841764,0.7541240474609996
Cafeteria & Co.,"Model Town, Delhi",cafes,4.4,13486.0,0.650736112826375,0.7541138948954175
Bedi Ultrasound,"Patel Nagar, Delhi",clinics,4.8,479.0,0.7115871226248409,0.7527995671522675
"Jawed Habib Hair & Beauty Salon, Kamla Nagar","Civil Lines, Delhi",salons,4.8,2050.0,0.6669192146287157,0.7525441422816235
Babyhug Store Delhi Patel Nagar,"Patel Nagar, Delhi",clothing stores,4.8,1223.0,0.677610656931978,0.7522167332087859
Dronacharya The Gym,"Mukherjee Nagar, Delhi",gyms,4.4,471.0,0.7113459615189385,0.7520598201220804
Gastronomica,"Greater Kailash, Delhi",restaurants,4.1,2167.0,0.6647097587012929,0.7519058276306974
Kaka Jewellers,"Kamla Nagar, Delhi",jewellery shops,4.9,403.0,0.7204638811012022,0.7513056856289729
Lajpat Nagar Market,"Lajpat Nagar, Delhi",clothing stores,4.3,15834.0,0.6455650427502262,0.7508834191985148
Refyn Unisex Salon,"Pitampura, Delhi",salons,4.6,1243.0,0.6746605899610685,0.7507745236993915
Safdarjung Development Area market,"Hauz Khas, Delhi",furniture stores,4.3,18290.0,0.6450124647089559,0.7506782754692795
Echoes,"Mukherjee Nagar, Delhi",restaurants,4.4,4906.0,0.6496026286600396,0.7503879300274257
MINISO Preet Vihar,"Preet Vihar, Delhi",clothing stores,4.4,2248.0,0.6611827371655234,0.749878089026247
Cafe Wink,"Laxmi Nagar, Delhi",cafes,4.3,9447.0,0.6457406442426245,0.7495271014888683
Zahra Restaurant & Café - Shaheen bagh,"Okhla, Delhi",restaurants,4.4,3907.0,0.650396293237508,0.7494123533631414
Cafe Crew Brew,"Pitampura, Delhi",cafes,4.8,437.0,0.7111390415642274,0.7492419657731598
USHA Company Store,"Kamla Nagar, Delhi",electronics shops,4.8,1424.0,0.6694015676845556,0.7491174295591196
I N A Market,"South Extension, Delhi",grocery stores,4.2,25161.0,0.6410380156269792,0.7483632891395775
Siloffer,"Greater Kailash, Delhi",jewellery shops,4.6,1592.0,0.6651763275052952,0.7476130486308692
Epicuria Food & Entertainment HUB,"Nehru Place, Delhi",cafes,4.4,25741.0,0.6396295716834897,0.7474552330504151
Concordia Overseas Education,"Preet Vihar, Delhi",tutoring centers,4.7,270.0,0.735485874680927,0.7474439185050226
Dronacharya The Gym,"Civil Lines, Delhi",gyms,4.4,471.0,0.7045651974289111,0.7473132852590613
Vardaan Mobile,"Saket, Delhi",mobile shops,5.0,1017.0,0.6777010908259786,0.747011870844621
Aggarwal Computers,"Janakpuri, Delhi",electronics shops,4.8,593.0,0.6953809277771017,0.7469569608626563
The Big Chill Cakery,"Nehru Place, Delhi",bakeries,4.4,1816.0,0.6612988709325684,0.746819244254874
Maddi Sweets and bakery,"South Extension, Delhi",bakeries,4.3,814.0,0.6844472291805537,0.7467514687308858
Gadget Arena,"Kamla Nagar, Delhi",electronics shops,4.8,1116.0,0.6732578683135813,0.7466005770236591
Star look Hair Salon - Hari Nagar,"Mayapuri, Delhi",salons,4.9,827.0,0.683232319433434,0.7465238692781442
Safdarjung Development Area market,"Hauz Khas, Delhi",grocery stores,4.3,18290.0,0.6388245782805785,0.7463467549694152
BURNOUT FITNESS CLUB,"Lajpat Nagar, Delhi",gyms,4.8,450.0,0.7054270341967945,0.7459961557716661
