name,area,pincode,category_searched,rating,review_count,review_outlier,has_website,has_phone,has_price_info,price_level_clean,num_types,business_status,website_propensity_score
Aarogya Dental clinic & Implant center,"Burari, Delhi",110084.0,clinics,4.8,185.0,0,0,1,0,0.0,8,OPERATIONAL,0.5722802628577722
Dr. Nitin Kumar Dev Life Line Clinic (Skin & Hair PRP GFC Clinic ),"Burari, Delhi",110084.0,clinics,4.7,242.0,0,1,1,0,0.0,6,OPERATIONAL,0.7584385989095993
Aarogya Clinic,"Burari, Delhi",110084.0,clinics,4.9,21.0,0,0,1,0,0.0,5,OPERATIONAL,0.41207749789646264
Vardaan Diagnostic and Women Care Center,"Burari, Delhi",110084.0,clinics,4.2,282.0,0,1,1,0,0.0,7,OPERATIONAL,0.7746356293231855
NU LIFE CLINIC & PHYSIOTHERAPY CENTRE | best physiotherapy clinic in burari | physiotherapy center burari,"Burari, Delhi",110084.0,clinics,5.0,44.0,0,1,1,0,0.0,4,OPERATIONAL,0.42910095457410885
skin care burari Delhi,"Burari, Delhi",110084.0,clinics,4.9,78.0,0,0,1,0,0.0,4,OPERATIONAL,0.3964609918939412
Dr Nitin verma (Medi Skin & Laser Clinic- north),"Burari, Delhi",110084.0,clinics,4.7,218.0,0,1,1,0,0.0,5,OPERATIONAL,0.7091550813218706
Medlife Hospital,"Burari, Delhi",110084.0,clinics,3.8,166.0,0,0,1,0,0.0,5,OPERATIONAL,0.35540374332613583
ONE STOP HEALTHCARE & PATH LAB,"Burari, Delhi",110084.0,clinics,4.5,77.0,0,1,1,0,0.0,5,OPERATIONAL,0.5231698543918358
Family Clinic,"Burari, Delhi",110084.0,clinics,5.0,3.0,0,1,1,0,0.0,5,OPERATIONAL,0.39534183217560054
Little Stars Clinic,"Burari, Delhi",110084.0,clinics,4.6,34.0,0,0,1,0,0.0,4,OPERATIONAL,0.3410679456975584
Jeevan Rekha Clinic,"Burari, Delhi",110084.0,clinics,4.3,4.0,0,0,0,0,0.0,4,OPERATIONAL,0.2323933015509139
Ayush Clinic,"Burari, Delhi",110084.0,clinics,5.0,7.0,0,0,1,0,0.0,4,OPERATIONAL,0.2868204153364567
Dr savita piles clinic,"Burari, Delhi",110084.0,clinics,4.9,108.0,0,1,1,0,0.0,5,OPERATIONAL,0.567433657903457
KUSHWAHA CLINIC,"Burari, Delhi",110084.0,clinics,4.5,2.0,0,0,1,0,0.0,4,OPERATIONAL,0.24988966406677912
Jyoti Bakers,"Burari, Delhi",110084.0,bakeries,4.8,162.0,0,0,1,0,0.0,6,OPERATIONAL,0.39752392425849375
Thapliyal Bakers,"Burari, Delhi",110084.0,bakeries,4.4,102.0,0,1,1,0,0.0,6,OPERATIONAL,0.3772702064579117
Kaku bakers,"Burari, Delhi",110084.0,bakeries,5.0,20.0,0,0,1,0,0.0,9,OPERATIONAL,0.34337791047473315
THE BLISS BAKE,"Burari, Delhi",110084.0,bakeries,4.8,26.0,0,0,1,0,0.0,9,OPERATIONAL,0.31871768995220157
RED Bakery and Snacks,"Burari, Delhi",110084.0,bakeries,4.3,41.0,0,0,1,0,0.0,13,OPERATIONAL,0.38323780498944604
Bakery Point The Cake Shop,"Burari, Delhi",110084.0,bakeries,3.5,33.0,0,0,1,0,0.0,6,OPERATIONAL,0.2244359938473455
Cake Lovers,"Burari, Delhi",110084.0,bakeries,3.9,233.0,0,0,1,1,2.0,6,OPERATIONAL,0.3848193206644241
Arun Bakers,"Burari, Delhi",110084.0,bakeries,4.6,10.0,0,0,1,0,0.0,9,OPERATIONAL,0.29128795649419054
Mittal Sweets and Snacks,"Burari, Delhi",110084.0,bakeries,4.6,1276.0,0,1,1,0,0.0,14,OPERATIONAL,0.7090108299872347
Sugar rush fairy (Home bakers),"Burari, Delhi",110084.0,bakeries,5.0,33.0,0,0,1,0,0.0,6,OPERATIONAL,0.3521660388286833
The Cake Room & Pastry Shop,"Burari, Delhi",110084.0,bakeries,4.5,53.0,0,0,1,0,0.0,6,OPERATIONAL,0.34544111564874497
Swankit Cakes and Flowers,"Burari, Delhi",110084.0,bakeries,4.7,14.0,0,1,1,0,0.0,6,OPERATIONAL,0.34863160277913297
Arya Cake Point N Baker's,"Burari, Delhi",110084.0,bakeries,5.0,11.0,0,1,0,0,0.0,6,OPERATIONAL,0.33570179508203124
Bake’s N Bite’s Bakery and Confectionery,"Burari, Delhi",110084.0,bakeries,5.0,5.0,0,1,1,0,0.0,9,OPERATIONAL,0.42093005721814286
Ranaji Baker's and confectioners,"Burari, Delhi",110084.0,bakeries,4.1,57.0,0,0,1,0,0.0,6,OPERATIONAL,0.26915808637815036
Hariram sweets,"Burari, Delhi",110084.0,bakeries,4.0,2038.0,0,1,1,1,2.0,10,OPERATIONAL,0.6181760327180993
Khandelwal Cake & Pastry Shop,"Burari, Delhi",110084.0,bakeries,3.5,121.0,0,0,1,1,2.0,6,OPERATIONAL,0.36469221491781445
AKD Bansiwal Bakery & Gift Gallery,"Burari, Delhi",110084.0,bakeries,4.6,9.0,0,0,1,0,0.0,9,OPERATIONAL,0.2905505843618862
PARAS BAKERY,"Burari, Delhi",110084.0,bakeries,5.0,12.0,0,0,1,0,0.0,6,OPERATIONAL,0.32215462185022414
Bohra Bakers,"Burari, Delhi",110084.0,bakeries,3.8,37.0,0,0,1,0,0.0,6,OPERATIONAL,0.2446980437015646
Samridhi Pharmacy,"Burari, Delhi",110084.0,pharmacies,4.9,59.0,0,0,1,0,0.0,5,OPERATIONAL,0.29877479622148645
Shri Raj Pharmacy-- best medical shop in burari,"Burari, Delhi",110084.0,pharmacies,5.0,23.0,0,0,1,0,0.0,5,OPERATIONAL,0.1910913022009525
Vinayak Pharmacy,"Burari, Delhi",110084.0,pharmacies,4.9,35.0,0,0,1,0,0.0,6,OPERATIONAL,0.2718323702914683
Jan Kalyan Chemist,"Burari, Delhi",110084.0,pharmacies,5.0,51.0,0,0,1,0,0.0,5,OPERATIONAL,0.2598380966671033
Shradha Medicos,"Burari, Delhi",110084.0,pharmacies,4.1,169.0,0,0,1,0,0.0,7,OPERATIONAL,0.44376585948318903
